,director,first_actor,genres,rating,runtime,second_actor,title
175,Stephen Sommers,Elijah Wood,"[Adventure, Comedy, Drama, Family]",6.1,108.0,Courtney B. Vance,The Adventures of Huck Finn
176,Xavier Dolan,Melvil Poupaud,"[Drama, Romance]",7.5,168.0,Emmanuel Schwartz,Laurence Anyways
177,Raj Kumar Gupta,Rani Mukerji,"[Crime, Drama, Thriller]",7.2,136.0,Vidya Balan,No One Killed Jessica
178,Scott Kalvert,Stephen Dorff,"[Action, Crime, Drama]",5.6,96.0,Brad Renfro,Deuces Wild
179,Rowdy Herrington,Cuba Gooding Jr.,"[Action, Crime, Thriller]",6.4,102.0,Tom Berenger,A Murder of Crows
180,Kabir Khan,John Abraham,"[Crime, Drama, History, Romance, Thriller]",6.7,153.0,Neil Nitin Mukesh,New York
181,Todd Louiso,Philip Seymour Hoffman,"[Comedy, Drama]",7.0,90.0,Annie Morgan,Love Liza
182,Gareth Evans,Iko Uwais,"[Action, Drama]",6.7,134.0,Sisca Jessica,Merantau
183,Chang-dong Lee,Jeong-hie Yun,[Drama],7.8,139.0,Da-wit Lee,Poetry
184,Mike Binder,Ben Affleck,"[Comedy, Drama]",5.7,96.0,Rebecca Romijn,Man About Town
185,Wil Shriner,Logan Lerman,"[Adventure, Comedy, Family]",5.6,91.0,Luke Wilson,Hoot
186,Michael Apted,Madeleine Stowe,"[Crime, Drama, Thriller]",6.1,106.0,Aidan Quinn,Blink
187,Serdar Akar,Erkan Can,"[Crime, Drama]",8.2,102.0,Haldun Boysan,On Board
188,Chazz Palminteri,Susan Sarandon,[Drama],6.3,96.0,Penélope Cruz,Noel
189,Sheldon Lettich,Jean-Claude Van Damme,"[Action, Adventure, Comedy]",4.5,89.0,Sofia Milos,The Order
190,Matt Reeves,David Schwimmer,"[Comedy, Romance]",4.9,98.0,Gwyneth Paltrow,The Pallbearer
191,John Singleton,Jon Voight,"[Action, Drama, History]",7.1,140.0,Ving Rhames,Rosewood
192,James Orr,Chevy Chase,[Comedy],4.9,96.0,Farrah Fawcett,Man of the House
193,Scott McGehee,David Siegel,[Drama],5.5,104.0,Richard Gere,Bee Season
194,Nia Vardalos,Nia Vardalos,"[Comedy, Romance]",4.6,98.0,John Corbett,I Hate Valentine&#x27;s Day
195,Gregg Champion,Woody Harrelson,"[Action, Comedy, Drama, Western]",5.7,102.0,Kiefer Sutherland,The Cowboy Way
196,Til Schweiger,Numan Acar,[Comedy],6.4,123.0,Meret Becker,Kokow&#xE4;&#xE4;h
197,Sreenu Vaitla,Mahesh Babu,"[Action, Comedy]",7.6,170.0,Samantha Ruth Prabhu,Dookudu
198,Jonathan Demme,Oprah Winfrey,"[Drama, History, Horror]",5.8,172.0,Danny Glover,Beloved
199,Rowan Woods,Kate Beckinsale,"[Crime, Drama]",5.8,100.0,Forest Whitaker,Fragments
200,Sajid Khan,Akshay Kumar,"[Comedy, Romance]",5.1,145.0,Asin,Housefull 2
201,Ken Kwapis,Fran Drescher,"[Comedy, Romance]",5.2,105.0,Timothy Dalton,The Beautician and the Beast
202,Jerzy Skolimowski,Vincent Gallo,"[Thriller, War]",6.1,83.0,Emmanuelle Seigner,Essential Killing
203,Çagan Irmak,Nejat Isler,"[Thriller, Drama]",7.7,119.0,Fikret Kuskan,Everything About Mustafa
204,Patricia Cardoso,America Ferrera,"[Comedy, Drama]",7.0,90.0,Lupe Ontiveros,Real Women Have Curves
205,Sönke Wortmann,Johanna Wokalek,"[Drama, Romance]",6.7,149.0,David Wenham,Pope Joan
206,Phil Roman,Richard Kind,"[Animation, Family, Musical]",5.2,84.0,Dana Hill,Tom and Jerry: The Movie
207,Charles T. Kanganis,Victor Wong,"[Family, Comedy, Action]",4.1,93.0,Max Elliott Slade,3 Ninjas Kick Back
208,Gus Van Sant,Uma Thurman,"[Comedy, Drama, Romance, Western]",4.2,95.0,Lorraine Bracco,Even Cowgirls Get the Blues
209,Cate Shortland,Abbie Cornish,"[Drama, Romance]",6.9,106.0,Sam Worthington,Somersault
210,Aleksandr Rogozhkin,Anni-Kristiina Juuso,"[Drama, War, Comedy]",7.9,99.0,Ville Haapasalo,The Cuckoo
211,Denis Dercourt,Catherine Frot,"[Drama, Music, Thriller]",7.1,85.0,Déborah François,The Page Turner
212,Sang-soo Im,Do-yeon Jeon,"[Drama, Thriller]",6.5,106.0,Jung-Jae Lee,The Housemaid
213,Nagisa Ôshima,Takeshi Kitano,"[Drama, History, Thriller]",6.9,100.0,Ryûhei Matsuda,Gohatto
214,Lewis Teague,Rutger Hauer,"[Action, Crime, Drama, Sci-Fi, Thriller]",5.8,101.0,Mimi Rogers,Wedlock
215,Nick Murphy,Paul Bettany,"[Crime, Drama, Thriller]",5.9,92.0,Mark Strong,Blood
216,Wojciech Smarzowski,Arkadiusz Jakubik,"[Crime, Drama, Thriller]",7.4,105.0,Marian Dziedziel,The Dark House
217,Kamen Kalev,Christo Christov,[Drama],7.3,83.0,Ovanes Torosian,Eastern Plays
218,James Melkonian,John G. Brennan,"[Comedy, Crime]",4.5,82.0,Kamal Ahmed,The Jerky Boys
219,Robert Hall,Brian Austin Green,[Horror],5.1,93.0,Thomas Dekker,Chromeskull: Laid to Rest 2
220,Matías Bize,Blanca Lewin,[Drama],6.5,85.0,Gonzalo Valenzuela,En la cama
221,Robert Greenwald,Vincent D'Onofrio,"[Biography, Drama, Romance]",6.4,107.0,Janeane Garofalo,Steal This Movie
222,Álex de la Iglesia,Sancho Gracia,"[Action, Comedy, Drama]",6.4,124.0,Ángel de Andrés López,800 Bullets
223,Michael Kalesniko,Kenneth Branagh,"[Comedy, Drama]",7.0,107.0,Robin Wright,How to Kill Your Neighbor&#x27;s Dog
224,Robert Edwards,Ralph Fiennes,"[Drama, Thriller]",6.6,110.0,Donald Sutherland,Land of the Blind
225,Karl DiPelino,Jefferson Brown,[Comedy],4.8,85.0,Darryn Lucio,Pigs
226,S.P. Rajkumar,Vijay Chandrasekar,[Action],2.6,159.0,Tamannaah Bhatia,Sura
